row_long,DUP_ID,kingdom,phylum,class,order,family,genus,species,site,replicate_ltr,replicate_num,count,date
1,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,5809,2015-04-01
2,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,2446,2015-04-01
3,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,786,2015-04-01
4,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,231,2015-04-01
5,OTU_29,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,824,2015-04-01
6,OTU_37,Eukaryota,Annelida,Polychaeta,Phascolosomatiformes,Phascolosomatidae,Apionsoma,Apionsoma misakianum,MR,a,NA,1,2015-04-01
7,OTU_39,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia,Euconchoecia chierchiae,MR,a,NA,1,2015-04-01
8,OTU_42,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,MR,a,NA,284,2015-04-01
9,OTU_45,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,MR,a,NA,1,2015-04-01
10,OTU_68,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,a,NA,4,2015-04-01
11,OTU_97,Eukaryota,Arthropoda,Maxillopoda,Poecilostomatoida,Sapphirinidae,Unclassified Sapphirinidae,Sapphirinidae sp. Co425.1.2,MR,a,NA,2,2015-04-01
12,OTU_186,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,100,2015-04-01
13,OTU_235,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Delibus,Delibus,MR,a,NA,14,2015-04-01
14,OTU_250,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,86,2015-04-01
15,OTU_366,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,50,2015-04-01
16,OTU_463,Eukaryota,Arthropoda,Arachnida,Astigmata,Pyroglyphidae,Dermatophagoides,Dermatophagoides farinae,MR,a,NA,1,2015-04-01
17,OTU_524,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,14,2015-04-01
18,OTU_741,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,a,NA,12,2015-04-01
19,OTU_809,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,MR,a,NA,6,2015-04-01
20,OTU_855,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Psammodictyon,Psammodictyon panduriforme,MR,a,NA,2,2015-04-01
21,OTU_885,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,10,2015-04-01
22,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,2,2015-04-01
23,OTU_973,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,a,NA,8,2015-04-01
24,OTU_1002,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,43,2015-04-01
25,OTU_1051,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,MR,a,NA,29,2015-04-01
26,OTU_1124,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,a,NA,9,2015-04-01
27,OTU_1153,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,18,2015-04-01
28,OTU_1254,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Pseudopterogorgia,Pseudopterogorgia,MR,a,NA,2,2015-04-01
29,OTU_1435,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calocalanidae,Calocalanus,Calocalanus minutus,MR,a,NA,2,2015-04-01
30,OTU_1604,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,MR,a,NA,1,2015-04-01
31,OTU_2853,Eukaryota,Haptophyceae,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,MR,a,NA,22,2015-04-01
32,OTU_3130,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,5,2015-04-01
33,OTU_3588,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,MR,a,NA,2,2015-04-01
34,OTU_4464,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-04-01
35,OTU_6016,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,a,NA,5,2015-04-01
36,OTU_7848,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,MR,a,NA,4,2015-04-01
37,OTU_10345,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,MR,a,NA,3,2015-04-01
38,OTU_11835,Eukaryota,Porifera,Demospongiae,Verongida,Aplysinidae,Aiolochroia,Aiolochroia crassa,MR,a,NA,1,2015-04-01
39,OTU_13389,Eukaryota,Porifera,Demospongiae,Hadromerida,Placospongiidae,Placospongia,Placospongia,MR,a,NA,7,2015-04-01
40,OTU_14322,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,2,2015-04-01
41,OTU_15040,Eukaryota,Chordata,Testudines,Testudines,Cheloniidae,Chelonia,Chelonia mydas,MR,a,NA,9,2015-04-01
42,OTU_16598,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,1,2015-04-01
43,OTU_17755,Eukaryota,Chlorophyta,Pycnococcaceae,Pycnococcaceae,Pycnococcaceae,Pycnococcaceae,Pycnococcaceae,MR,a,NA,1,2015-04-01
44,OTU_20310,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,MR,a,NA,1,2015-04-01
45,OTU_25662,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,1,2015-04-01
46,OTU_29747,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-04-01
47,OTU_37172,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,MR,a,NA,2,2015-04-01
48,OTU_38020,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,MR,a,NA,1,2015-04-01
49,OTU_43049,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,a,NA,2,2015-04-01
50,OTU_48266,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-04-01
51,OTU_66382,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia lundholmiae,MR,a,NA,2,2015-04-01
52,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,4743,2015-04-01
53,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,2564,2015-04-01
54,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,699,2015-04-01
55,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,b,NA,583,2015-04-01
56,OTU_24,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta enflata,MR,b,NA,47,2015-04-01
57,OTU_39,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia,Euconchoecia chierchiae,MR,b,NA,4778,2015-04-01
58,OTU_40,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanidae,Nannocalanus,Nannocalanus minor,MR,b,NA,1,2015-04-01
59,OTU_51,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,MR,b,NA,2346,2015-04-01
60,OTU_65,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanidae,Nannocalanus,Nannocalanus minor,MR,b,NA,2,2015-04-01
61,OTU_68,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,17,2015-04-01
62,OTU_174,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,Sagitta enflata,MR,b,NA,4,2015-04-01
63,OTU_186,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,140,2015-04-01
64,OTU_329,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,b,NA,9,2015-04-01
65,OTU_524,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,15,2015-04-01
66,OTU_741,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,b,NA,30,2015-04-01
67,OTU_809,Eukaryota,Porifera,Demospongiae,Astrophorida,Geodiidae,Geodia,,MR,b,NA,15,2015-04-01
68,OTU_885,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,2,2015-04-01
69,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,3,2015-04-01
70,OTU_1051,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,MR,b,NA,24,2015-04-01
71,OTU_1096,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Delibus,Delibus,MR,b,NA,40,2015-04-01
72,OTU_1124,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,b,NA,13,2015-04-01
73,OTU_2853,Eukaryota,Haptophyceae,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,MR,b,NA,14,2015-04-01
74,OTU_4162,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polysiphonia,Polysiphonia breviarticulata,MR,b,NA,1,2015-04-01
75,OTU_4464,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,1,2015-04-01
76,OTU_5816,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora cornuta,MR,b,NA,5,2015-04-01
77,OTU_6391,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,,MR,b,NA,8,2015-04-01
78,OTU_7190,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,1,2015-04-01
