DUP_ID,search_string,unique_name,approximate_match,ott_id,is_synonym,flags,number_matches
OTU_1,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_2,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_9,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_12,Homo sapiens,Homo sapiens,FALSE,770315,FALSE,EDITED,1
OTU_29,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_37,Apionsoma misakianum,Apionsoma misakianum,FALSE,43138,FALSE,NA,1
OTU_39,Euconchoecia chierchiae,Euconchoecia chierchiae,FALSE,78337,FALSE,NA,1
OTU_42,Paracalanus quasimodo,Paracalanus quasimodo,FALSE,2955329,FALSE,NA,1
OTU_45,Penilia avirostris,Penilia avirostris,FALSE,884046,FALSE,NA,1
OTU_68,Acartia tonsa,Acartia tonsa,FALSE,265973,FALSE,NA,1
OTU_97,Sapphirinidae,Sapphirinidae,FALSE,360389,FALSE,NA,1
OTU_186,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_235,Delibus,Delibus,FALSE,2957799,FALSE,NA,1
OTU_250,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_366,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_463,Dermatophagoides farinae,Dermatophagoides farinae,FALSE,587963,FALSE,NA,1
OTU_524,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_741,Bigelowiella natans,Bigelowiella natans,FALSE,5260606,FALSE,NA,1
OTU_809,Geodia,Geodia,FALSE,67823,FALSE,NA,1
OTU_855,Psammodictyon panduriforme,Psammodictyon panduriforme,FALSE,402887,FALSE,NA,1
OTU_885,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_922,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_973,Bigelowiella natans,Bigelowiella natans,FALSE,5260606,FALSE,NA,1
OTU_1002,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_1051,Ascidia ahodori,Ascidia ahodori,FALSE,66519,FALSE,NA,1
OTU_1124,Bigelowiella natans,Bigelowiella natans,FALSE,5260606,FALSE,NA,1
OTU_1153,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_1254,Pseudopterogorgia,Pseudopterogorgia,FALSE,985980,FALSE,NA,1
OTU_1435,Calocalanus minutus,Calocalanus minutus,FALSE,2956399,FALSE,NA,1
OTU_1604,Ascidia ahodori,Ascidia ahodori,FALSE,66519,FALSE,NA,1
OTU_2853,Phaeocystis pouchetii,Phaeocystis pouchetii,FALSE,215716,FALSE,NA,1
OTU_3130,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_3588,Paracalanus quasimodo,Paracalanus quasimodo,FALSE,2955329,FALSE,NA,1
OTU_4464,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_6016,Bigelowiella natans,Bigelowiella natans,FALSE,5260606,FALSE,NA,1
OTU_7848,Bathycoccus prasinos,Bathycoccus prasinos,FALSE,698291,FALSE,NA,1
OTU_10345,Penicillium chrysogenum,Penicillium chrysogenum,FALSE,226485,FALSE,NA,1
OTU_11835,Aiolochroia crassa,Aiolochroia crassa,FALSE,595809,FALSE,NA,1
OTU_13389,Placospongia,Placospongia,FALSE,368897,FALSE,NA,1
OTU_14322,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_15040,Chelonia mydas,Chelonia mydas,FALSE,559133,FALSE,NA,1
OTU_16598,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_17755,Pycnococcaceae,Pycnococcaceae,FALSE,300506,FALSE,SIBLING_HIGHER,1
OTU_20310,Paracalanus quasimodo,Paracalanus quasimodo,FALSE,2955329,FALSE,NA,1
OTU_25662,Homo sapiens,Homo sapiens,FALSE,770315,FALSE,EDITED,1
OTU_29747,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_37172,Micromonas pusilla,Micromonas pusilla,FALSE,395942,FALSE,NA,1
OTU_38020,Paracalanus quasimodo,Paracalanus quasimodo,FALSE,2955329,FALSE,NA,1
OTU_43049,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_48266,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_66382,Pseudo-nitzschia lundholmiae,Pseudo-nitzschia lundholmiae,TRUE,5219184,FALSE,NA,1
OTU_1,Clausocalanus furcatus,Clausocalanus furcatus,FALSE,775008,FALSE,NA,1
OTU_2,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_9,Emiliania huxleyi,Emiliania huxleyi,FALSE,695761,FALSE,NA,1
OTU_12,Homo sapiens,Homo sapiens,FALSE,770315,FALSE,EDITED,1
OTU_24,Sagitta enflata,Sagitta enflata,FALSE,273695,FALSE,NA,2
